Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | CELLBIO 493,IND Section 23,7795,1,1,0.0,2021-06-27 18:11:34.041497
Research Independent Study | CELLBIO 493,IND Section 24,7796,1,1,0.0,2021-06-27 18:11:36.469301
Research Independent Study | CELLBIO 493,IND Section 25,7797,1,1,0.0,2021-06-27 18:11:38.863038
Research Independent Study | CELLBIO 493,IND Section 26,7798,1,1,0.0,2021-06-27 18:11:41.210143
Research Independent Study | CELLBIO 493,IND Section 27,7799,1,1,0.0,2021-06-27 18:11:43.537710
Research Independent Study | CELLBIO 493,IND Section 28,7800,1,1,0.0,2021-06-27 18:11:45.864565
Research Independent Study | CELLBIO 493,IND Section 29,7801,1,1,0.0,2021-06-27 18:11:48.240475
Research Independent Study | CELLBIO 493,IND Section 30,7802,1,1,0.0,2021-06-27 18:11:50.579852
Research Independent Study | CELLBIO 493,IND Section 32,7803,0,1,100.0,2021-06-27 18:11:52.972779
Research Independent Study | CELLBIO 493,IND Section 34,7804,1,1,0.0,2021-06-27 18:11:55.332422
Research Independent Study | CELLBIO 493,IND Section 35,7805,1,1,0.0,2021-06-27 18:11:57.671539
Research Independent Study | CELLBIO 493,IND Section 36,7806,1,1,0.0,2021-06-27 18:12:00.006111
Research Independent Study | CELLBIO 493,IND Section 37,7807,1,1,0.0,2021-06-27 18:12:02.399068
Research Independent Study | CELLBIO 493,IND Section 38,7808,1,1,0.0,2021-06-27 18:12:04.789989
Research Independent Study | CELLBIO 493,IND Section 40,7809,1,1,0.0,2021-06-27 18:12:07.150242
Research Independent Study | CELLBIO 493,IND Section 41,7810,1,1,0.0,2021-06-27 18:12:09.501398
Research Independent Study | CELLBIO 493,IND Section 42,7811,1,1,0.0,2021-06-27 18:12:11.846389
Research Independent Study | CELLBIO 493,IND Section 43,7812,1,1,0.0,2021-06-27 18:12:14.166575
Research Independent Study | CELLBIO 493,IND Section 44,7813,0,1,100.0,2021-06-27 18:12:16.498509
Research Independent Study | CELLBIO 493,IND Section 45,7814,0,1,100.0,2021-06-27 18:12:18.833279
Research Independent Study | CELLBIO 493,IND Section 46,7815,0,1,100.0,2021-06-27 18:12:21.215680
Research Independent Study | CELLBIO 493,IND Section 47,7816,1,1,0.0,2021-06-27 18:12:23.562842
Research Independent Study | CELLBIO 493,IND Section 48,7817,0,1,100.0,2021-06-27 18:12:25.964901
Research Independent Study | CELLBIO 493,IND Section 49,7818,1,1,0.0,2021-06-27 18:12:28.326504
Research Independent Study | CELLBIO 493,IND Section 50,7819,1,1,0.0,2021-06-27 18:12:30.682926
Research Independent Study | CELLBIO 493,IND Section 51,7820,1,1,0.0,2021-06-27 18:12:33.022488
Research Independent Study | CELLBIO 493,IND Section 52,7821,1,1,0.0,2021-06-27 18:12:35.384628
Research Independent Study | CELLBIO 493,IND Section 54,7822,1,1,0.0,2021-06-27 18:12:37.884812
Research Independent Study | CELLBIO 493,IND Section 55,7823,1,1,0.0,2021-06-27 18:12:40.198740
Research Independent Study | CELLBIO 493,IND Section 56,7824,1,1,0.0,2021-06-27 18:12:42.532656
Research Independent Study | CELLBIO 493,IND Section 57,7825,1,1,0.0,2021-06-27 18:12:44.975494
Research Independent Study | CELLBIO 493,IND Section 58,7826,1,1,0.0,2021-06-27 18:12:47.316484
Research Independent Study | CELLBIO 493,IND Section 59,7827,1,1,0.0,2021-06-27 18:12:49.682447
