Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Theory and Practice of Sustainability | SUSTAIN 245,Lecture Section 01,9555,0,30,100.0,2021-06-27 18:40:49.756576
Building a Sustainable Tomorrow | SUSTAIN 498SD,SEM Section 001,10842,6,10,40.0,2021-06-27 18:40:52.525940
Building a Sustainable Tomorrow | SUSTAIN 498SD,Discussion Section 01D,10856,6,10,40.0,2021-06-27 18:40:55.135633
