Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Medieval Christianity in Film and Fiction | ENGLISH 254,Lecture Section 01,7257,35,45,22.22222222222222,2021-06-27 18:18:42.595187
Religion and the Novel in Modern India | ENGLISH 258,Lecture Section 01,7254,27,45,40.0,2021-06-27 18:18:44.970169
"Classics of American Literature, 1820-1860 | ENGLISH 269",Lecture Section 01,5650,17,20,15.0,2021-06-27 18:18:47.372658
Introduction to Asian American and Diaspora Studies | ENGLISH 275S,SEM Section 01,7747,0,12,100.0,2021-06-27 18:18:49.751049
American Apocalypse: Beat Generation Spirituality | ENGLISH 281,Lecture Section 01,7263,45,45,0.0,2021-06-27 18:18:52.075280
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | ENGLISH 284S,SEM Section 01,7108,0,18,100.0,2021-06-27 18:18:54.406383
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 01,4015,0,20,100.0,2021-06-27 18:18:56.788411
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 02,4017,0,15,100.0,2021-06-27 18:18:59.214613
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 03,4019,2,15,86.66666666666667,2021-06-27 18:19:01.703381
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 04,4021,0,15,100.0,2021-06-27 18:19:04.292579
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | ENGLISH 287,Lecture Section 05,11252,3,20,85.0,2021-06-27 18:19:06.820015
Special Topics in Language and Literature | ENGLISH 290S,SEM Section 01,5652,4,12,66.66666666666666,2021-06-27 18:19:09.294652
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 01,5653,2,12,83.33333333333334,2021-06-27 18:19:11.791436
Special Topics in Creative Writing | ENGLISH 290S-4,SEM Section 02,5654,3,12,75.0,2021-06-27 18:19:14.261027
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | ENGLISH 301S",SEM Section 01,10800,0,15,100.0,2021-06-27 18:19:16.710849
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | ENGLISH 301S",SEM Section 02,10805,0,1,100.0,2021-06-27 18:19:19.128739
Intermediate Workshop in the Writing of Fiction | ENGLISH 321S,SEM Section 01,5655,1,12,91.66666666666666,2021-06-27 18:19:21.469397
Modern Drama: 1940-2000 | ENGLISH 365S,SEM Section 01,7869,11,16,31.25,2021-06-27 18:19:23.854827
Fictions That Mark the Moment | ENGLISH 379S,SEM Section 01,5537,6,18,66.66666666666666,2021-06-27 18:19:26.181453
The History of Hip-Hop | ENGLISH 381,Lecture Section 01,5546,0,130,100.0,2021-06-27 18:19:28.518902
Science Fiction Film | ENGLISH 386,Lecture Section 01,5656,0,30,100.0,2021-06-27 18:19:30.918144
Asian American Theatre | ENGLISH 387S,SEM Section 01,7857,1,8,87.5,2021-06-27 18:19:33.378991
Asian American Theatre | ENGLISH 387S,SEM Section 02,11377,0,8,100.0,2021-06-27 18:19:36.048622
Special Topics: Single American Author | ENGLISH 390-1,Lecture Section 01,5657,23,30,23.333333333333332,2021-06-27 18:19:38.563770
Special Topics in a Single American Author | ENGLISH 390S-1,SEM Section 01,5658,0,12,100.0,2021-06-27 18:19:41.129760
Special Topics in a Single American Author | ENGLISH 390S-1,SEM Section 02,5659,4,12,66.66666666666666,2021-06-27 18:19:43.720193
Narratives of Migration | ENGLISH 397S,SEM Section 01,5661,1,12,91.66666666666666,2021-06-27 18:19:46.382611
Digital Media Internship | ENGLISH 398,IND Section 01,11992,0,2,100.0,2021-06-27 18:19:48.857266
Advanced Workshop in the Writing of Poetry | ENGLISH 420S,SEM Section 01,5662,6,12,50.0,2021-06-27 18:19:51.257570
Understanding Mediation | ENGLISH 480S,SEM Section 01,6167,2,12,83.33333333333334,2021-06-27 18:19:53.608144
"Special Topics in Criticism, Theory, or Methodology | ENGLISH 490S-10",SEM Section 01,5664,0,12,100.0,2021-06-27 18:19:56.093593
Independent Study | ENGLISH 491,IND Section 01,11879,0,1,100.0,2021-06-27 18:19:58.474859
Research Independent Study | ENGLISH 493,IND Section 01,12039,0,1,100.0,2021-06-27 18:20:00.853744
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 02,10683,0,1,100.0,2021-06-27 18:20:03.251331
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 03,10684,0,1,100.0,2021-06-27 18:20:05.787019
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 04,10685,0,1,100.0,2021-06-27 18:20:08.165477
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 05,10686,0,1,100.0,2021-06-27 18:20:10.539611
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 06,10687,0,1,100.0,2021-06-27 18:20:12.943426
Distinction Creative Writing Independent Study | ENGLISH 495,IND Section 07,11367,0,1,100.0,2021-06-27 18:20:15.307729
Distinction Creative Writing Independent Study | ENGLISH 496,IND Section 01,11232,0,1,100.0,2021-06-27 18:20:17.781477
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 03,11143,0,1,100.0,2021-06-27 18:20:20.200392
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 04,10688,0,1,100.0,2021-06-27 18:20:22.585133
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 05,10689,0,1,100.0,2021-06-27 18:20:24.934641
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 06,10690,0,1,100.0,2021-06-27 18:20:27.294552
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 08,11508,0,1,100.0,2021-06-27 18:20:29.701724
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 09,10691,0,1,100.0,2021-06-27 18:20:32.167992
Distinction Critical Research Independent Study | ENGLISH 497,IND Section 10,10692,0,1,100.0,2021-06-27 18:20:34.540120
