Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
"Composing Oneself: Stress, Identity, and Wellness | ETHICS 205S",SEM Section 01,5632,0,15,100.0,2021-06-27 18:19:51.674191
Resettling Refugees in Durham | ETHICS 215,WRK Section 01,8757,3,14,78.57142857142857,2021-06-27 18:19:54.041560
Resettling Refugees in Durham | ETHICS 215,WRK Section 02,8758,2,6,66.66666666666666,2021-06-27 18:19:56.401080
Resettling Refugees in Durham | ETHICS 215,WRK Section 03,8759,14,16,12.5,2021-06-27 18:19:58.769308
Resettling Refugees in Durham | ETHICS 215,WRK Section 04,8760,16,19,15.789473684210526,2021-06-27 18:20:01.173317
Resettling Refugees in Durham | ETHICS 215,WRK Section 05,8761,15,17,11.76470588235294,2021-06-27 18:20:03.649846
"Muslim Philosophy and Theology, an introduction | ETHICS 235S",SEM Section 01,7267,14,18,22.22222222222222,2021-06-27 18:20:06.014077
Love and Loneliness: What's Happening to Relationships in the Twenty-First Century? | ETHICS 240,Lecture Section 01,5873,0,35,100.0,2021-06-27 18:20:08.344537
Pursuit of Purpose: Exploring What to Be and Why | ETHICS 253S,SEM Section 01,8751,3,18,83.33333333333334,2021-06-27 18:20:10.676193
News as a Moral Battleground | ETHICS 259,Lecture Section 01,3081,0,15,100.0,2021-06-27 18:20:13.062487
News as a Moral Battleground | ETHICS 259,Lecture Section 02,3085,1,10,90.0,2021-06-27 18:20:15.429762
"Life Within Capitalism: A History of its Values, Measures and Struggles | ETHICS 271",Lecture Section 01,9118,0,20,100.0,2021-06-27 18:20:17.877223
Sexuality and the Law | ETHICS 272S,SEM Section 01,7763,3,15,80.0,2021-06-27 18:20:20.227715
Special Topics in Ethics | ETHICS 290S,SEM Section 02,7264,12,18,33.33333333333333,2021-06-27 18:20:22.581101
Business and Human Rights Advocacy Lab | ETHICS 301S,SEM Section 01,8746,0,12,100.0,2021-06-27 18:20:24.907052
Global Health as an Ethical Enterprise | ETHICS 344,Lecture Section 01,5985,27,40,32.5,2021-06-27 18:20:27.242887
Refugee Policy and Practice (DukeImmerse) | ETHICS 388S,SEM Section 01,8764,18,18,0.0,2021-06-27 18:20:29.565629
Capstone Course for Certificate in Civic Engagement and Social Change: Lives of Civic Engagement | ETHICS 401S,SEM Section 01,8772,12,18,33.33333333333333,2021-06-27 18:20:32.021331
"Modern Catholic Writing: Faith, Witness, Ecology | ETHICS 481",Lecture Section 04,11314,0,10,100.0,2021-06-27 18:20:34.407303
Capstone Research Seminar in Ethics | ETHICS 490S,SEM Section 01,8744,10,18,44.44444444444444,2021-06-27 18:20:36.710470
Research Independent Study | ETHICS 493,IND Section 01,2830,4,18,77.77777777777779,2021-06-27 18:20:39.118874
Research Independent Study | ETHICS 493,IND Section 02,2831,14,18,22.22222222222222,2021-06-27 18:20:41.608285
