Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
France-Asia: Cultural Transfers and Translations in a Globalized Context,ICS,413S,SEM,01,9507,2,18,88.88888888888889,6/27/2021 6:26:42 PM
Indigenous Americas,ICS,414S,SEM,01,10327,2,15,86.66666666666667,6/27/2021 6:26:44 PM
Indigenous Americas,ICS,414S,SEM,02,10330,0,3,100.0,6/27/2021 6:26:47 PM
"Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value",ICS,419S,SEM,01,5400,0,18,100.0,6/27/2021 6:26:49 PM
Medical Anthropology,ICS,424-1,Lecture,01,5895,2,15,86.66666666666667,6/27/2021 6:26:51 PM
Medical Anthropology,ICS,424-1,Lecture,02,5897,3,15,80.0,6/27/2021 6:26:54 PM
"Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America",ICS,460S,SEM,01,9458,0,18,100.0,6/27/2021 6:26:56 PM
Capstone: Global Studies Seminar,ICS,489S,SEM,01,5401,11,15,26.666666666666668,6/27/2021 6:26:58 PM
Senior Honors Seminar,ICS,496S,SEM,01,5402,5,13,61.53846153846154,6/27/2021 6:27:01 PM
Foundations of Game Design,ISS,125L,Lecture,001,6848,1,15,93.33333333333333,6/27/2021 5:28:00 PM
Foundations of Game Design,ISS,125L,Laboratory,01L,6849,1,15,93.33333333333333,6/27/2021 5:28:02 PM
Experimental Sculpture and Installation Art,ISS,135,Lecture,01,3515,0,14,100.0,6/27/2021 5:28:04 PM
Experimental Interface Design,ISS,198,Lecture,01,3535,7,20,65.0,6/27/2021 5:28:07 PM
3D Modeling and Animation,ISS,209,Lecture,01,3519,4,15,73.33333333333333,6/27/2021 5:28:09 PM
Animated Film: A History and Aesthetic,ISS,211,Lecture,01,3539,6,20,70.0,6/27/2021 5:28:11 PM
Introduction to Digital Humanities,ISS,222D,Lecture,001,6850,2,15,86.66666666666667,6/27/2021 5:28:14 PM
Introduction to Digital Humanities,ISS,222D,Discussion,01D,6851,2,15,86.66666666666667,6/27/2021 5:28:16 PM
