Class Name,Department,Catalog Number,Section Type,Section Number,Class Number,Open Seats,Total Seats,Percent,Timestamp
Buddhism,AMES,114,Lecture,01,7249,8,20,60.0,6/27/2021 5:18:36 PM
Islamic Civilization I,AMES,122,Lecture,01,7272,34,45,24.444444444444443,6/27/2021 5:18:38 PM
Understanding the Qur'an,AMES,126S,SEM,01,7266,12,18,33.33333333333333,6/27/2021 5:18:41 PM
China from Antiquity to 1400,AMES,136,Lecture,01,7096,21,35,40.0,6/27/2021 5:18:43 PM
History of Chinese Medicine,AMES,142,Lecture,01,7102,1,40,97.5,6/27/2021 5:18:45 PM
"Anime: Origins, Forms, Mutations",AMES,162,Lecture,01,6550,5,45,88.88888888888889,6/27/2021 5:18:48 PM
The Emergence of Modern Japan,AMES,169,Lecture,01,7099,15,25,40.0,6/27/2021 5:18:50 PM
Asian American Theatre,AMES,182S,SEM,01,7858,1,8,87.5,6/27/2021 5:18:53 PM
Asian American Theatre,AMES,182S,SEM,02,11378,0,8,100.0,6/27/2021 5:18:55 PM
Gateway Seminar: Civil Rights and Asian Americans,AMES,187S,SEM,01,7088,3,18,83.33333333333334,6/27/2021 5:18:57 PM
Special Topics in Asian & Middle Eastern Studies,AMES,190S,SEM,02,6552,1,18,94.44444444444444,6/27/2021 5:19:00 PM
"Arab Cultures: Literature, Politics, History",AMES,210,Lecture,01,6553,17,21,19.047619047619047,6/27/2021 5:19:02 PM
Muhammad: The Prophet of Islam,AMES,223S,SEM,01,7726,8,18,55.55555555555556,6/27/2021 5:19:04 PM
Dance and Dance Theater of Asia,AMES,246,Lecture,01,5746,0,10,100.0,6/27/2021 5:19:07 PM
Religion and the Novel in Modern India,AMES,255,Lecture,01,7253,27,45,40.0,6/27/2021 5:19:09 PM
The Transnational Realities of an Ancient Tradition,AMES,265,Lecture,01,11216,41,45,8.88888888888889,6/27/2021 5:19:11 PM
Spiritual But Not Religious,AMES,267,Lecture,01,11215,36,45,20.0,6/27/2021 5:19:14 PM
Voices in Global Health: Mandarin Tutorial,AMES,270T-5,TUT,01,10410,0,8,100.0,6/27/2021 5:19:16 PM
Introduction to Asian American and Diaspora Studies,AMES,276S,SEM,01,7749,0,12,100.0,6/27/2021 5:19:18 PM
"Istanbul: Religion, Politics and Cosmopolitanism",AMES,283S,SEM,01,6555,12,15,20.0,6/27/2021 5:19:21 PM
Special Topics in Asian and Middle Eastern Studies,AMES,290S,SEM,01,6556,15,18,16.666666666666664,6/27/2021 5:19:23 PM
Turkish History through the Novels of Orhan Pamuk,AMES,296S,SEM,01,6557,15,18,16.666666666666664,6/27/2021 5:19:25 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,01,6558,7,12,41.66666666666667,6/27/2021 5:19:28 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,02,6559,1,6,83.33333333333334,6/27/2021 5:19:30 PM
Acquisition of Japanese as a Second Language,AMES,310S,SEM,01,6560,4,12,66.66666666666666,6/27/2021 5:19:32 PM
Social Movements and Social Media,AMES,318S,SEM,01,6165,0,18,100.0,6/27/2021 5:19:35 PM
"Muslim Philosophy and Theology, an introduction",AMES,324S,SEM,01,7268,14,18,22.22222222222222,6/27/2021 5:19:37 PM
Islamic Media,AMES,329S,SEM,01,6561,9,14,35.714285714285715,6/27/2021 5:19:39 PM
Islamic Media,AMES,329S,SEM,02,11546,4,4,0.0,6/27/2021 5:19:42 PM
Chinese science fiction,AMES,336,Lecture,01,7728,12,22,45.45454545454545,6/27/2021 5:19:44 PM
"Hinduism and Judaism: Culture, Religion, and Identity",AMES,349S,SEM,01,7252,4,18,77.77777777777779,6/27/2021 5:19:46 PM
Modern & Global India,AMES,357,Lecture,01,7094,2,18,88.88888888888889,6/27/2021 5:19:49 PM
Modern & Global India,AMES,357,Lecture,02,11932,0,2,100.0,6/27/2021 5:19:51 PM
Violent Jihad in the Twentieth Century - A Global History,AMES,359,Lecture,01,7133,23,60,61.66666666666667,6/27/2021 5:19:53 PM
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice",AMES,386S,SEM,01,7265,15,18,16.666666666666664,6/27/2021 5:19:56 PM
Global South Asia: History and Culture of Diaspora,AMES,388S,SEM,01,10534,2,15,86.66666666666667,6/27/2021 5:19:58 PM
Special Topics,AMES,390S,SEM,01,6562,17,18,5.555555555555555,6/27/2021 5:20:00 PM
Independent Study,AMES,391,IND,01,10228,4,4,0.0,6/27/2021 5:20:03 PM
Independent Study,AMES,391,IND,02,10229,4,4,0.0,6/27/2021 5:20:05 PM
Independent Study,AMES,391,IND,03,10230,4,4,0.0,6/27/2021 5:20:07 PM
France-Asia: Cultural Transfers and Translations in a Globalized Context,AMES,426S,SEM,01,9506,2,18,88.88888888888889,6/27/2021 5:20:10 PM
"Storyworlds: The Art, Technology, and Pleasure of Narrative",AMES,432S,SEM,01,6563,0,18,100.0,6/27/2021 5:20:12 PM
Chinese Culture and Ideology in the 20th Century and Now,AMES,456S,SEM,01,6564,1,18,94.44444444444444,6/27/2021 5:20:15 PM
Research Independent Study,AMES,493,IND,01,10231,4,4,0.0,6/27/2021 5:20:17 PM
Research Independent Study,AMES,493,IND,02,10232,3,4,25.0,6/27/2021 5:20:19 PM
Research Independent Study,AMES,493,IND,03,10233,4,4,0.0,6/27/2021 5:20:22 PM
Research Independent Study,AMES,493,IND,04,10234,4,4,0.0,6/27/2021 5:20:24 PM
Research Independent Study,AMES,493,IND,05,10235,4,4,0.0,6/27/2021 5:20:26 PM
Collaborative Research Projects,AMES,495,IND,01,10236,5,5,0.0,6/27/2021 5:20:29 PM
Collaborative Research Projects,AMES,495,IND,02,10237,5,5,0.0,6/27/2021 5:20:31 PM
Collaborative Research Projects,AMES,495,IND,03,10238,5,5,0.0,6/27/2021 5:20:33 PM
Collaborative Research Projects,AMES,495,IND,04,10239,5,5,0.0,6/27/2021 5:20:36 PM
Collaborative Research Projects,AMES,495,IND,05,10240,5,5,0.0,6/27/2021 5:20:38 PM
Senior Honors Thesis Seminar,AMES,499S,SEM,01,6565,10,12,16.666666666666664,6/27/2021 5:20:40 PM
Buddhism,AMES,114,Lecture,01,7249,8,20,60.0,6/27/2021 6:13:17 PM
Islamic Civilization I,AMES,122,Lecture,01,7272,34,45,24.444444444444443,6/27/2021 6:13:19 PM
Understanding the Qur'an,AMES,126S,SEM,01,7266,12,18,33.33333333333333,6/27/2021 6:13:21 PM
China from Antiquity to 1400,AMES,136,Lecture,01,7096,21,35,40.0,6/27/2021 6:13:24 PM
History of Chinese Medicine,AMES,142,Lecture,01,7102,1,40,97.5,6/27/2021 6:13:26 PM
"Anime: Origins, Forms, Mutations",AMES,162,Lecture,01,6550,5,45,88.88888888888889,6/27/2021 6:13:29 PM
The Emergence of Modern Japan,AMES,169,Lecture,01,7099,15,25,40.0,6/27/2021 6:13:31 PM
Asian American Theatre,AMES,182S,SEM,01,7858,1,8,87.5,6/27/2021 6:13:33 PM
Asian American Theatre,AMES,182S,SEM,02,11378,0,8,100.0,6/27/2021 6:13:36 PM
Gateway Seminar: Civil Rights and Asian Americans,AMES,187S,SEM,01,7088,3,18,83.33333333333334,6/27/2021 6:13:38 PM
Special Topics in Asian & Middle Eastern Studies,AMES,190S,SEM,02,6552,1,18,94.44444444444444,6/27/2021 6:13:41 PM
"Arab Cultures: Literature, Politics, History",AMES,210,Lecture,01,6553,17,21,19.047619047619047,6/27/2021 6:13:43 PM
Muhammad: The Prophet of Islam,AMES,223S,SEM,01,7726,8,18,55.55555555555556,6/27/2021 6:13:45 PM
Dance and Dance Theater of Asia,AMES,246,Lecture,01,5746,0,10,100.0,6/27/2021 6:13:48 PM
Religion and the Novel in Modern India,AMES,255,Lecture,01,7253,27,45,40.0,6/27/2021 6:13:50 PM
The Transnational Realities of an Ancient Tradition,AMES,265,Lecture,01,11216,41,45,8.88888888888889,6/27/2021 6:13:53 PM
Spiritual But Not Religious,AMES,267,Lecture,01,11215,36,45,20.0,6/27/2021 6:13:55 PM
Voices in Global Health: Mandarin Tutorial,AMES,270T-5,TUT,01,10410,0,8,100.0,6/27/2021 6:13:57 PM
Introduction to Asian American and Diaspora Studies,AMES,276S,SEM,01,7749,0,12,100.0,6/27/2021 6:14:00 PM
"Istanbul: Religion, Politics and Cosmopolitanism",AMES,283S,SEM,01,6555,12,15,20.0,6/27/2021 6:14:02 PM
Special Topics in Asian and Middle Eastern Studies,AMES,290S,SEM,01,6556,15,18,16.666666666666664,6/27/2021 6:14:04 PM
Turkish History through the Novels of Orhan Pamuk,AMES,296S,SEM,01,6557,15,18,16.666666666666664,6/27/2021 6:14:07 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,01,6558,7,12,41.66666666666667,6/27/2021 6:14:09 PM
"Africa and Arabia: Cultures, Communities, and Connections",AMES,304,Lecture,02,6559,1,6,83.33333333333334,6/27/2021 6:14:12 PM
Acquisition of Japanese as a Second Language,AMES,310S,SEM,01,6560,4,12,66.66666666666666,6/27/2021 6:14:14 PM
Social Movements and Social Media,AMES,318S,SEM,01,6165,0,18,100.0,6/27/2021 6:14:16 PM
"Muslim Philosophy and Theology, an introduction",AMES,324S,SEM,01,7268,14,18,22.22222222222222,6/27/2021 6:14:18 PM
Islamic Media,AMES,329S,SEM,01,6561,9,14,35.714285714285715,6/27/2021 6:14:21 PM
Islamic Media,AMES,329S,SEM,02,11546,4,4,0.0,6/27/2021 6:14:23 PM
Chinese science fiction,AMES,336,Lecture,01,7728,12,22,45.45454545454545,6/27/2021 6:14:26 PM
"Hinduism and Judaism: Culture, Religion, and Identity",AMES,349S,SEM,01,7252,4,18,77.77777777777779,6/27/2021 6:14:28 PM
Modern & Global India,AMES,357,Lecture,01,7094,2,18,88.88888888888889,6/27/2021 6:14:30 PM
Modern & Global India,AMES,357,Lecture,02,11932,0,2,100.0,6/27/2021 6:14:33 PM
Violent Jihad in the Twentieth Century - A Global History,AMES,359,Lecture,01,7133,23,60,61.66666666666667,6/27/2021 6:14:35 PM
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice",AMES,386S,SEM,01,7265,15,18,16.666666666666664,6/27/2021 6:14:37 PM
Global South Asia: History and Culture of Diaspora,AMES,388S,SEM,01,10534,2,15,86.66666666666667,6/27/2021 6:14:40 PM
Special Topics,AMES,390S,SEM,01,6562,17,18,5.555555555555555,6/27/2021 6:14:42 PM
Independent Study,AMES,391,IND,01,10228,4,4,0.0,6/27/2021 6:14:44 PM
Independent Study,AMES,391,IND,02,10229,4,4,0.0,6/27/2021 6:14:47 PM
Independent Study,AMES,391,IND,03,10230,4,4,0.0,6/27/2021 6:14:49 PM
France-Asia: Cultural Transfers and Translations in a Globalized Context,AMES,426S,SEM,01,9506,2,18,88.88888888888889,6/27/2021 6:14:51 PM
"Storyworlds: The Art, Technology, and Pleasure of Narrative",AMES,432S,SEM,01,6563,0,18,100.0,6/27/2021 6:14:54 PM
Chinese Culture and Ideology in the 20th Century and Now,AMES,456S,SEM,01,6564,1,18,94.44444444444444,6/27/2021 6:14:56 PM
Research Independent Study,AMES,493,IND,01,10231,4,4,0.0,6/27/2021 6:14:58 PM
Research Independent Study,AMES,493,IND,02,10232,3,4,25.0,6/27/2021 6:15:01 PM
Research Independent Study,AMES,493,IND,03,10233,4,4,0.0,6/27/2021 6:15:03 PM
Research Independent Study,AMES,493,IND,04,10234,4,4,0.0,6/27/2021 6:15:06 PM
Research Independent Study,AMES,493,IND,05,10235,4,4,0.0,6/27/2021 6:15:08 PM
Collaborative Research Projects,AMES,495,IND,01,10236,5,5,0.0,6/27/2021 6:15:10 PM
Collaborative Research Projects,AMES,495,IND,02,10237,5,5,0.0,6/27/2021 6:15:13 PM
Collaborative Research Projects,AMES,495,IND,03,10238,5,5,0.0,6/27/2021 6:15:15 PM
Collaborative Research Projects,AMES,495,IND,04,10239,5,5,0.0,6/27/2021 6:15:18 PM
Collaborative Research Projects,AMES,495,IND,05,10240,5,5,0.0,6/27/2021 6:15:20 PM
Senior Honors Thesis Seminar,AMES,499S,SEM,01,6565,10,12,16.666666666666664,6/27/2021 6:15:22 PM
First-Year Seminar,AAAS,89S,SEM,01,9343,0,18,100.0,6/27/2021 5:16:03 PM
First-Year Seminar,AAAS,89S,SEM,02,10832,0,15,100.0,6/27/2021 5:16:06 PM
Introduction to African American Studies,AAAS,102,Lecture,01,5517,0,25,100.0,6/27/2021 5:16:09 PM
Introduction to African Studies (DS3 or DS4),AAAS,103,Lecture,01,5518,12,50,76.0,6/27/2021 5:16:12 PM
Introduction to Latino/a Studies in the Global South,AAAS,104,Lecture,01,5088,7,12,41.66666666666667,6/27/2021 5:16:15 PM
Gateway Seminar: Civil Rights and Asian Americans,AAAS,133S,SEM,01,7089,3,18,83.33333333333334,6/27/2021 5:16:18 PM
Introduction to Jazz,AAAS,140,Lecture,01,4285,1,16,93.75,6/27/2021 5:16:20 PM
Motown and American Soul Music,AAAS,146,Lecture,01,4286,2,16,87.5,6/27/2021 5:16:23 PM
Special Topics,AAAS,190S,SEM,01,3127,2,14,85.71428571428571,6/27/2021 5:16:25 PM
Anthropology of Money,AAAS,211,Lecture,01,5885,1,70,98.57142857142858,6/27/2021 5:16:28 PM
"War, Slavery, and Revolution in the Caribbean, 1700-1800",AAAS,219,Lecture,01,7120,9,10,10.0,6/27/2021 5:16:30 PM
Documenting Black Experiences,AAAS,225S,SEM,01,3151,1,14,92.85714285714286,6/27/2021 5:16:32 PM
Crime and the City from Dickens to The Wire,AAAS,226,Lecture,01,7119,13,35,62.857142857142854,6/27/2021 5:16:35 PM
Fictions That Mark the Moment,AAAS,228S,SEM,01,5519,6,18,66.66666666666666,6/27/2021 5:16:37 PM
The South in Black and White,AAAS,230S,SEM,01,3145,1,15,93.33333333333333,6/27/2021 5:16:40 PM
Sociology of Racism in America,AAAS,246,Lecture,01,4372,18,35,48.57142857142857,6/27/2021 5:16:42 PM
Social Movements and Social Media,AAAS,247S,SEM,01,6159,0,18,100.0,6/27/2021 5:16:44 PM
Independent African American Cinema,AAAS,253S,SEM,01,10033,10,18,44.44444444444444,6/27/2021 5:16:47 PM
Latin American Wars of Independence,AAAS,264,Lecture,01,7109,21,35,40.0,6/27/2021 5:16:49 PM
Critical Pedagogy of Hip Hop,AAAS,286S,SEM,01,11160,0,18,100.0,6/27/2021 5:16:51 PM
"Africa and Arabia: Cultures, Communities, and Connections",AAAS,306,Lecture,01,6651,7,12,41.66666666666667,6/27/2021 5:16:54 PM
"Africa and Arabia: Cultures, Communities, and Connections",AAAS,306,Lecture,02,6653,1,6,83.33333333333334,6/27/2021 5:16:56 PM
Conflict Analysis in Africa (Case Studies),AAAS,310S,SEM,01,5520,1,18,94.44444444444444,6/27/2021 5:16:58 PM
War and Public Health in Africa,AAAS,312,Lecture,01,10308,3,18,83.33333333333334,6/27/2021 5:17:01 PM
Introduction to Hip-Hop Production,AAAS,325S,SEM,01,10433,1,18,94.44444444444444,6/27/2021 5:17:03 PM
Black Popular Culture,AAAS,331,Lecture,02,5522,15,50,70.0,6/27/2021 5:17:06 PM
The History of Hip-Hop,AAAS,335,Lecture,01,5523,0,130,100.0,6/27/2021 5:17:08 PM
"The Civil War and Reconstruction: The United States, 1850-1880",AAAS,342,Lecture,01,7128,10,30,66.66666666666666,6/27/2021 5:17:10 PM
White People: In Anthropological Perspective,AAAS,347S,SEM,01,5524,3,18,83.33333333333334,6/27/2021 5:17:13 PM
Contemporary South Africa,AAAS,349S,SEM,01,9742,5,18,72.22222222222221,6/27/2021 5:17:15 PM
Pigging Out: The Cultural Politics of Food,AAAS,352,Lecture,01,5525,2,15,86.66666666666667,6/27/2021 5:17:17 PM
"Race and Society: South Africa and the US, 1890-present",AAAS,354S,SEM,01,9747,1,18,94.44444444444444,6/27/2021 5:17:20 PM
Special Topics,AAAS,390S,SEM,02,5681,4,12,66.66666666666666,6/27/2021 5:17:22 PM
Special Topics,AAAS,390S,SEM,03,10422,0,14,100.0,6/27/2021 5:17:24 PM
Independent Study,AAAS,391,IND,01,11503,0,1,100.0,6/27/2021 5:17:27 PM
"African Cities, Development, and Climate Change",AAAS,397S,SEM,01,5526,9,18,50.0,6/27/2021 5:17:29 PM
"Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value",AAAS,419S,SEM,01,5419,0,18,100.0,6/27/2021 5:17:31 PM
Global Inequality Research Seminar,AAAS,425S,SEM,02,11794,0,15,100.0,6/27/2021 5:17:34 PM
Music History and Politics in Contemporary Africa,AAAS,430,Lecture,01,9518,12,18,33.33333333333333,6/27/2021 5:17:36 PM
Research Independent Study,AAAS,493,IND,01,11224,0,1,100.0,6/27/2021 5:17:38 PM
Distinction Program Sequence,AAAS,496,IND,01,10678,0,1,100.0,6/27/2021 5:17:41 PM
Distinction Program Sequence,AAAS,496,IND,02,10679,0,1,100.0,6/27/2021 5:17:43 PM
Distinction Program Sequence,AAAS,496,IND,03,10680,0,1,100.0,6/27/2021 5:17:46 PM
Distinction Program Sequence,AAAS,496,IND,04,10681,1,1,0.0,6/27/2021 5:17:48 PM
Distinction Program Sequence,AAAS,496,IND,05,10682,0,1,100.0,6/27/2021 5:17:50 PM
Senior Seminar,AAAS,499S,SEM,01,5527,8,18,55.55555555555556,6/27/2021 5:17:53 PM
First-Year Seminar,AAAS,89S,SEM,01,9343,0,18,100.0,6/27/2021 6:10:48 PM
First-Year Seminar,AAAS,89S,SEM,02,10832,0,15,100.0,6/27/2021 6:10:50 PM
Introduction to African American Studies,AAAS,102,Lecture,01,5517,0,25,100.0,6/27/2021 6:10:53 PM
Introduction to African Studies (DS3 or DS4),AAAS,103,Lecture,01,5518,12,50,76.0,6/27/2021 6:10:55 PM
Introduction to Latino/a Studies in the Global South,AAAS,104,Lecture,01,5088,7,12,41.66666666666667,6/27/2021 6:10:58 PM
Gateway Seminar: Civil Rights and Asian Americans,AAAS,133S,SEM,01,7089,3,18,83.33333333333334,6/27/2021 6:11:00 PM
Introduction to Jazz,AAAS,140,Lecture,01,4285,1,16,93.75,6/27/2021 6:11:02 PM
Motown and American Soul Music,AAAS,146,Lecture,01,4286,2,16,87.5,6/27/2021 6:11:05 PM
Special Topics,AAAS,190S,SEM,01,3127,2,14,85.71428571428571,6/27/2021 6:11:07 PM
Anthropology of Money,AAAS,211,Lecture,01,5885,1,70,98.57142857142858,6/27/2021 6:11:10 PM
"War, Slavery, and Revolution in the Caribbean, 1700-1800",AAAS,219,Lecture,01,7120,9,10,10.0,6/27/2021 6:11:12 PM
Documenting Black Experiences,AAAS,225S,SEM,01,3151,1,14,92.85714285714286,6/27/2021 6:11:14 PM
Crime and the City from Dickens to The Wire,AAAS,226,Lecture,01,7119,13,35,62.857142857142854,6/27/2021 6:11:17 PM
Fictions That Mark the Moment,AAAS,228S,SEM,01,5519,6,18,66.66666666666666,6/27/2021 6:11:19 PM
The South in Black and White,AAAS,230S,SEM,01,3145,1,15,93.33333333333333,6/27/2021 6:11:22 PM
Sociology of Racism in America,AAAS,246,Lecture,01,4372,18,35,48.57142857142857,6/27/2021 6:11:24 PM
Social Movements and Social Media,AAAS,247S,SEM,01,6159,0,18,100.0,6/27/2021 6:11:26 PM
Independent African American Cinema,AAAS,253S,SEM,01,10033,10,18,44.44444444444444,6/27/2021 6:11:29 PM
Latin American Wars of Independence,AAAS,264,Lecture,01,7109,21,35,40.0,6/27/2021 6:11:31 PM
Critical Pedagogy of Hip Hop,AAAS,286S,SEM,01,11160,0,18,100.0,6/27/2021 6:11:33 PM
"Africa and Arabia: Cultures, Communities, and Connections",AAAS,306,Lecture,01,6651,7,12,41.66666666666667,6/27/2021 6:11:36 PM
"Africa and Arabia: Cultures, Communities, and Connections",AAAS,306,Lecture,02,6653,1,6,83.33333333333334,6/27/2021 6:11:38 PM
Conflict Analysis in Africa (Case Studies),AAAS,310S,SEM,01,5520,1,18,94.44444444444444,6/27/2021 6:11:40 PM
War and Public Health in Africa,AAAS,312,Lecture,01,10308,3,18,83.33333333333334,6/27/2021 6:11:43 PM
Introduction to Hip-Hop Production,AAAS,325S,SEM,01,10433,1,18,94.44444444444444,6/27/2021 6:11:45 PM
Black Popular Culture,AAAS,331,Lecture,02,5522,15,50,70.0,6/27/2021 6:11:47 PM
The History of Hip-Hop,AAAS,335,Lecture,01,5523,0,130,100.0,6/27/2021 6:11:50 PM
"The Civil War and Reconstruction: The United States, 1850-1880",AAAS,342,Lecture,01,7128,10,30,66.66666666666666,6/27/2021 6:11:52 PM
White People: In Anthropological Perspective,AAAS,347S,SEM,01,5524,3,18,83.33333333333334,6/27/2021 6:11:54 PM
Contemporary South Africa,AAAS,349S,SEM,01,9742,5,18,72.22222222222221,6/27/2021 6:11:57 PM
Pigging Out: The Cultural Politics of Food,AAAS,352,Lecture,01,5525,2,15,86.66666666666667,6/27/2021 6:11:59 PM
"Race and Society: South Africa and the US, 1890-present",AAAS,354S,SEM,01,9747,1,18,94.44444444444444,6/27/2021 6:12:02 PM
Special Topics,AAAS,390S,SEM,02,5681,4,12,66.66666666666666,6/27/2021 6:12:04 PM
Special Topics,AAAS,390S,SEM,03,10422,0,14,100.0,6/27/2021 6:12:06 PM
Independent Study,AAAS,391,IND,01,11503,0,1,100.0,6/27/2021 6:12:09 PM
"African Cities, Development, and Climate Change",AAAS,397S,SEM,01,5526,9,18,50.0,6/27/2021 6:12:11 PM
"Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value",AAAS,419S,SEM,01,5419,0,18,100.0,6/27/2021 6:12:13 PM
Global Inequality Research Seminar,AAAS,425S,SEM,02,11794,0,15,100.0,6/27/2021 6:12:16 PM
Music History and Politics in Contemporary Africa,AAAS,430,Lecture,01,9518,12,18,33.33333333333333,6/27/2021 6:12:18 PM
Research Independent Study,AAAS,493,IND,01,11224,0,1,100.0,6/27/2021 6:12:21 PM
Distinction Program Sequence,AAAS,496,IND,01,10678,0,1,100.0,6/27/2021 6:12:23 PM
Distinction Program Sequence,AAAS,496,IND,02,10679,0,1,100.0,6/27/2021 6:12:25 PM
Distinction Program Sequence,AAAS,496,IND,03,10680,0,1,100.0,6/27/2021 6:12:28 PM
Distinction Program Sequence,AAAS,496,IND,04,10681,1,1,0.0,6/27/2021 6:12:30 PM
Distinction Program Sequence,AAAS,496,IND,05,10682,0,1,100.0,6/27/2021 6:12:33 PM
Senior Seminar,AAAS,499S,SEM,01,5527,8,18,55.55555555555556,6/27/2021 6:12:35 PM
Elementary Arabic,ARABIC,101,Lecture,001,6570,10,18,44.44444444444444,6/27/2021 5:20:57 PM
Elementary Arabic,ARABIC,101,Discussion,01D,6571,10,18,44.44444444444444,6/27/2021 5:20:59 PM
Elementary Arabic,ARABIC,102,Lecture,001,6572,6,16,62.5,6/27/2021 5:21:02 PM
Elementary Arabic,ARABIC,102,Lecture,002,6573,10,16,37.5,6/27/2021 5:21:04 PM
Elementary Arabic,ARABIC,102,Lecture,003,11943,0,1,100.0,6/27/2021 5:21:07 PM
Elementary Arabic,ARABIC,102,Discussion,01D,6574,6,16,62.5,6/27/2021 5:21:09 PM
Elementary Arabic,ARABIC,102,Discussion,02D,6575,10,16,37.5,6/27/2021 5:21:11 PM
Elementary Arabic,ARABIC,102,Discussion,03D,11947,0,1,100.0,6/27/2021 5:21:14 PM
Intermediate Arabic,ARABIC,204,Lecture,01,6576,12,18,33.33333333333333,6/27/2021 5:21:16 PM
Intermediate Arabic,ARABIC,204,Lecture,02,11944,1,1,0.0,6/27/2021 5:21:19 PM
Media Arabic I: Arabic in Media and Documentary Film,ARABIC,281,Lecture,01,10254,10,12,16.666666666666664,6/27/2021 5:21:21 PM
Advanced Arabic,ARABIC,306,Lecture,01,6577,9,18,50.0,6/27/2021 5:21:23 PM
Independent Study,ARABIC,391,IND,01,10255,3,4,25.0,6/27/2021 5:21:26 PM
Independent Study,ARABIC,391,IND,02,10256,4,4,0.0,6/27/2021 5:21:28 PM
Issues in Arabic Language and Literature II,ARABIC,408,Lecture,01,6578,7,12,41.66666666666667,6/27/2021 5:21:31 PM
Elementary Arabic,ARABIC,101,Lecture,001,6570,10,18,44.44444444444444,6/27/2021 6:15:37 PM
Elementary Arabic,ARABIC,101,Discussion,01D,6571,10,18,44.44444444444444,6/27/2021 6:15:40 PM
Elementary Arabic,ARABIC,102,Lecture,001,6572,6,16,62.5,6/27/2021 6:15:42 PM
Elementary Arabic,ARABIC,102,Lecture,002,6573,10,16,37.5,6/27/2021 6:15:45 PM
Elementary Arabic,ARABIC,102,Lecture,003,11943,0,1,100.0,6/27/2021 6:15:47 PM
Elementary Arabic,ARABIC,102,Discussion,01D,6574,6,16,62.5,6/27/2021 6:15:50 PM
Elementary Arabic,ARABIC,102,Discussion,02D,6575,10,16,37.5,6/27/2021 6:15:52 PM
Elementary Arabic,ARABIC,102,Discussion,03D,11947,0,1,100.0,6/27/2021 6:15:55 PM
Intermediate Arabic,ARABIC,204,Lecture,01,6576,12,18,33.33333333333333,6/27/2021 6:15:57 PM
Intermediate Arabic,ARABIC,204,Lecture,02,11944,1,1,0.0,6/27/2021 6:16:00 PM
Media Arabic I: Arabic in Media and Documentary Film,ARABIC,281,Lecture,01,10254,10,12,16.666666666666664,6/27/2021 6:16:02 PM
Advanced Arabic,ARABIC,306,Lecture,01,6577,9,18,50.0,6/27/2021 6:16:05 PM
Independent Study,ARABIC,391,IND,01,10255,3,4,25.0,6/27/2021 6:16:07 PM
Independent Study,ARABIC,391,IND,02,10256,4,4,0.0,6/27/2021 6:16:10 PM
Issues in Arabic Language and Literature II,ARABIC,408,Lecture,01,6578,7,12,41.66666666666667,6/27/2021 6:16:12 PM
Leadership Laboratory,AEROSCI,99L,Laboratory,01L,10529,24,45,46.666666666666664,6/27/2021 5:18:08 PM
Heritage and Values of the United States Air Force,AEROSCI,102,Lecture,01,10530,12,20,40.0,6/27/2021 5:18:10 PM
Team and Leadership Fundamentals,AEROSCI,202,Lecture,01,10531,13,20,35.0,6/27/2021 5:18:13 PM
National Security Affairs/Preparation for Active Duty,AEROSCI,402S,SEM,01,10528,8,15,46.666666666666664,6/27/2021 5:18:15 PM
Leadership Laboratory,AEROSCI,99L,Laboratory,01L,10529,24,45,46.666666666666664,6/27/2021 6:12:49 PM
Heritage and Values of the United States Air Force,AEROSCI,102,Lecture,01,10530,12,20,40.0,6/27/2021 6:12:52 PM
Team and Leadership Fundamentals,AEROSCI,202,Lecture,01,10531,13,20,35.0,6/27/2021 6:12:54 PM
National Security Affairs/Preparation for Active Duty,AEROSCI,402S,SEM,01,10528,8,15,46.666666666666664,6/27/2021 6:12:57 PM
First-Year Seminar,ARTHIST,89S,SEM,01,4063,1,15,93.33333333333333,6/27/2021 5:16:21 PM
Introduction to World Art History from 1200 to the Present,ARTHIST,102D,Lecture,001,3340,0,18,100.0,6/27/2021 5:16:23 PM
Introduction to World Art History from 1200 to the Present,ARTHIST,102D,Discussion,01D,3341,0,18,100.0,6/27/2021 5:16:26 PM
Introduction to the History of Architecture,ARTHIST,103D,Lecture,001,3342,15,25,40.0,6/27/2021 5:16:28 PM
Introduction to the History of Architecture,ARTHIST,103D,Discussion,02D,3344,15,25,40.0,6/27/2021 5:16:31 PM
Seven Wonders: Monuments and Cultures of the Ancient Mediterranean,ARTHIST,139,Lecture,01,7712,10,24,58.333333333333336,6/27/2021 5:16:33 PM
Special Topics in Art History,ARTHIST,190S,SEM,01,3345,8,15,46.666666666666664,6/27/2021 5:16:36 PM
History and Theory of Curatorial Practice,ARTHIST,222S,SEM,01,3347,6,18,66.66666666666666,6/27/2021 5:16:38 PM
Gothic Cathedrals,ARTHIST,225,Lecture,001,3348,2,20,90.0,6/27/2021 5:16:40 PM
