Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Thrive | EGR 79D,Lecture Section 001,10120,144,144,0.0,No,2021-06-28 13:03:07.634376
Thrive | EGR 79D,Discussion Section 01D,10121,12,12,0.0,No,2021-06-28 13:03:10.051575
Thrive | EGR 79D,Discussion Section 02D,10122,12,12,0.0,No,2021-06-28 13:03:12.468302
Thrive | EGR 79D,Discussion Section 03D,10123,12,12,0.0,No,2021-06-28 13:03:14.900700
Thrive | EGR 79D,Discussion Section 04D,10124,12,12,0.0,No,2021-06-28 13:03:17.328498
Thrive | EGR 79D,Discussion Section 05D,10125,12,12,0.0,No,2021-06-28 13:03:19.796714
Thrive | EGR 79D,Discussion Section 06D,10126,12,12,0.0,No,2021-06-28 13:03:22.253234
Thrive | EGR 79D,Discussion Section 07D,10127,12,12,0.0,No,2021-06-28 13:03:24.703838
Thrive | EGR 79D,Discussion Section 08D,10128,12,12,0.0,No,2021-06-28 13:03:27.166646
Thrive | EGR 79D,Discussion Section 09D,10129,12,12,0.0,No,2021-06-28 13:03:29.598556
Thrive | EGR 79D,Discussion Section 10D,10130,12,12,0.0,No,2021-06-28 13:03:32.017723
Thrive | EGR 79D,Discussion Section 11D,10131,12,12,0.0,No,2021-06-28 13:03:34.433908
Thrive | EGR 79D,Discussion Section 12D,10132,12,12,0.0,No,2021-06-28 13:03:36.880514
First Year seminar in Focus | EGR 95FS,SEM Section 01,8070,0,18,100.0,No,2021-06-28 13:03:39.215063
First Year seminar in Focus | EGR 95FS,SEM Section 02,8071,0,18,100.0,No,2021-06-28 13:03:41.575650
Engineering Design and Communication | EGR 101L,Lecture Section 001,8074,44,44,0.0,No,2021-06-28 13:03:43.943415
Engineering Design and Communication | EGR 101L,Lecture Section 002,8075,44,44,0.0,No,2021-06-28 13:03:46.257175
Engineering Design and Communication | EGR 101L,Lecture Section 003,8076,40,40,0.0,No,2021-06-28 13:03:48.568699
Engineering Design and Communication | EGR 101L,Lecture Section 004,8077,44,44,0.0,No,2021-06-28 13:03:50.909887
Engineering Design and Communication | EGR 101L,Lecture Section 005,8078,40,40,0.0,No,2021-06-28 13:03:53.232299
Engineering Design and Communication | EGR 101L,Lecture Section 006,8079,44,44,0.0,No,2021-06-28 13:03:55.582648
Engineering Design and Communication | EGR 101L,Lecture Section 007,8080,17,17,0.0,No,2021-06-28 13:03:57.946990
Engineering Design and Communication | EGR 101L,Lecture Section 008,8081,44,44,0.0,No,2021-06-28 13:04:00.277293
Engineering Design and Communication | EGR 101L,Lecture Section 009,8082,20,20,0.0,No,2021-06-28 13:04:02.638429
Engineering Design and Communication | EGR 101L,Laboratory Section 01L,8083,40,40,0.0,No,2021-06-28 13:04:05.015564
Engineering Design and Communication | EGR 101L,Laboratory Section 02L,8084,40,40,0.0,No,2021-06-28 13:04:07.413402
Engineering Design and Communication | EGR 101L,Laboratory Section 03L,8085,36,36,0.0,No,2021-06-28 13:04:09.775926
Engineering Design and Communication | EGR 101L,Laboratory Section 04L,8086,40,40,0.0,No,2021-06-28 13:04:12.115344
Engineering Design and Communication | EGR 101L,Laboratory Section 05L,8087,36,36,0.0,No,2021-06-28 13:04:14.601505
Engineering Design and Communication | EGR 101L,Laboratory Section 06L,8088,40,40,0.0,No,2021-06-28 13:04:16.944337
Engineering Design and Communication | EGR 101L,Laboratory Section 07L,8089,17,17,0.0,No,2021-06-28 13:04:19.507343
Engineering Design and Communication | EGR 101L,Laboratory Section 08L,8090,40,40,0.0,No,2021-06-28 13:04:21.840062
Engineering Design and Communication | EGR 101L,Laboratory Section 09L,8091,18,18,0.0,No,2021-06-28 13:04:24.191881
Computational Methods in Engineering | EGR 103L,Lecture Section 001,8853,150,150,0.0,No,2021-06-28 13:04:26.500679
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 02L,8814,30,30,0.0,No,2021-06-28 13:04:28.830143
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 03L,8815,30,30,0.0,No,2021-06-28 13:04:31.186135
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 05L,8816,30,30,0.0,No,2021-06-28 13:04:33.508818
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 06L,8817,30,30,0.0,No,2021-06-28 13:04:35.840617
Computational Methods in Engineering (Lab) | EGR 103L9,Laboratory Section 08L,8818,30,30,0.0,No,2021-06-28 13:04:38.182144
Special Topics in Engineering | EGR 190,Lecture Section 01,8069,30,30,0.0,No,2021-06-28 13:04:40.518053
Mechanics of Solids | EGR 201L,Lecture Section 001,8058,50,50,0.0,No,2021-06-28 13:04:42.901967
Mechanics of Solids | EGR 201L,Lecture Section 002,8059,50,50,0.0,No,2021-06-28 13:04:45.225909
Mechanics of Solids | EGR 201L,Lecture Section 003,8060,50,50,0.0,No,2021-06-28 13:04:47.550926
Mechanics of Solids | EGR 201L,Laboratory Section 11L,8061,25,25,0.0,No,2021-06-28 13:04:49.856636
Mechanics of Solids | EGR 201L,Laboratory Section 12L,8062,25,25,0.0,No,2021-06-28 13:04:52.198820
Mechanics of Solids | EGR 201L,Laboratory Section 21L,8063,25,25,0.0,No,2021-06-28 13:04:54.582459
Mechanics of Solids | EGR 201L,Laboratory Section 22L,8064,25,25,0.0,No,2021-06-28 13:04:56.973481
Mechanics of Solids | EGR 201L,Laboratory Section 31L,8065,25,25,0.0,No,2021-06-28 13:04:59.357607
Mechanics of Solids | EGR 201L,Laboratory Section 32L,8066,25,25,0.0,No,2021-06-28 13:05:01.697088
Fundamentals of Data Analysis and Decision Science | EGR 238L,Lecture Section 001,8108,30,30,0.0,No,2021-06-28 13:05:04.018284
