Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Child Policy Research | CHILDPOL 250S,SEM Section 01,4326,18,18,0.0,No,2021-06-30 21:48:22.924242
Research Independent Study | CHILDPOL 393,IND Section 01,4328,1,1,0.0,No,2021-06-30 21:48:25.300412
Research Independent Study | CHILDPOL 393,IND Section 02,4329,1,1,0.0,No,2021-06-30 21:48:27.810179
Research Independent Study | CHILDPOL 393,IND Section 03,4330,1,1,0.0,No,2021-06-30 21:48:30.229877
Special Topics in Child Policy Research | CHILDPOL 490S,SEM Section 01,4331,18,18,0.0,No,2021-06-30 21:48:32.594951
