Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Urdu and Its Cultures | URDU 102,Lecture Section 01,6634,5,8,37.5,2021-06-27 17:42:16.073789
Urdu and Its Cultures | URDU 102,Lecture Section 01,6634,5,8,37.5,2021-06-27 18:37:08.257075
