Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Spanish Civil War in History and Literature | SPANISH 373S,SEM Section 01,9494,5,15,66.66666666666666,2021-06-27 18:37:01.840056
Research Independent Study | SPANISH 394,IND Section 01,2909,1,1,0.0,2021-06-27 18:37:04.148053
Research Independent Study | SPANISH 394,IND Section 02,2910,1,1,0.0,2021-06-27 18:37:06.478380
Identity and Linguistic Rights in the Spanish Speaking Americas | SPANISH 409S,SEM Section 01,9487,7,12,41.66666666666667,2021-06-27 18:37:08.854586
"Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America | SPANISH 412S",SEM Section 01,9456,0,18,100.0,2021-06-27 18:37:11.212592
Spanish Cinema from the Transition to the Present | SPANISH 419,Lecture Section 01,11197,-4,15,126.66666666666666,2021-06-27 18:37:13.572737
Popular Culture and Political Repression in Spain and Latin America | SPANISH 432S,SEM Section 01,9426,1,15,93.33333333333333,2021-06-27 18:37:15.902858
Spain: Special Topics | SPANISH 490,Lecture Section 01,11194,8,15,46.666666666666664,2021-06-27 18:37:18.246092
Research Independent Study | SPANISH 494,IND Section 01,2911,0,1,100.0,2021-06-27 18:37:20.567312
Research Independent Study | SPANISH 494,IND Section 02,2912,1,1,0.0,2021-06-27 18:37:22.878374
Research Independent Study | SPANISH 494,IND Section 03,2913,1,1,0.0,2021-06-27 18:37:25.213699
Research Independent Study | SPANISH 494,IND Section 04,2914,1,1,0.0,2021-06-27 18:37:27.518709
Honors Thesis | SPANISH 496,IND Section 01,2915,0,1,100.0,2021-06-27 18:37:29.827553
Honors Thesis | SPANISH 496,IND Section 02,2916,1,1,0.0,2021-06-27 18:37:32.156698
Honors Thesis | SPANISH 496,IND Section 03,2917,1,1,0.0,2021-06-27 18:37:34.468780
Honors Thesis | SPANISH 496,IND Section 04,2918,1,1,0.0,2021-06-27 18:37:36.941324
