Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Environment and Global Capitalism in Latin America | LATAMER 222,Lecture Section 01,7097,3,30,90.0,2021-06-27 17:29:13.540587
Mexico Since Before Cortes | LATAMER 223,Lecture Section 01,10418,9,10,10.0,2021-06-27 17:29:16.122793
Social Movements and Social Media | LATAMER 320S,SEM Section 01,6161,0,18,100.0,2021-06-27 17:29:18.699006
Environment and Global Capitalism in Latin America | LATAMER 222,Lecture Section 01,7097,3,30,90.0,2021-06-27 18:25:53.758740
Mexico Since Before Cortes | LATAMER 223,Lecture Section 01,10418,9,10,10.0,2021-06-27 18:25:56.214104
Social Movements and Social Media | LATAMER 320S,SEM Section 01,6161,0,18,100.0,2021-06-27 18:25:58.651548
