Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Arts Entrepreneurship | ARTSVIS 295S,SEM Section 01,4293,3,18,83.33333333333334,2021-06-27 18:13:53.010704
Writing the Short Film | ARTSVIS 303S,SEM Section 01,3551,1,15,93.33333333333333,2021-06-27 18:13:55.369620
Photo Workshop | ARTSVIS 318S,SEM Section 01,3141,6,15,60.0,2021-06-27 18:13:57.763677
Film Animation Production | ARTSVIS 326S,SEM Section 01,3548,1,10,90.0,2021-06-27 18:14:00.117644
Producing Docu-Fiction | ARTSVIS 340S,SEM Section 01,3409,2,6,66.66666666666666,2021-06-27 18:14:02.497673
16mm Film Production | ARTSVIS 356S,SEM Section 01,3557,0,4,100.0,2021-06-27 18:14:04.861103
Recycled Cinema | ARTSVIS 375S,SEM Section 01,11174,0,4,100.0,2021-06-27 18:14:07.283680
Special Topics in Visual Arts | ARTSVIS 390S,SEM Section 01,3410,0,9,100.0,2021-06-27 18:14:09.646964
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 01,3411,3,3,0.0,2021-06-27 18:14:11.987882
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 02,3412,3,3,0.0,2021-06-27 18:14:14.316744
Independent Project in the Visual Arts | ARTSVIS 391,IND Section 03,3413,3,3,0.0,2021-06-27 18:14:16.681153
Narrative Projects | ARTSVIS 450S,SEM Section 01,3562,0,6,100.0,2021-06-27 18:14:19.043323
Independent Study | ARTSVIS 491,IND Section 01,3414,2,3,33.33333333333333,2021-06-27 18:14:21.465899
Independent Study | ARTSVIS 491,IND Section 02,3415,2,3,33.33333333333333,2021-06-27 18:14:23.779838
Independent Study | ARTSVIS 491,IND Section 03,3416,3,3,0.0,2021-06-27 18:14:26.097286
Independent Study | ARTSVIS 492,IND Section 01,3417,3,3,0.0,2021-06-27 18:14:28.415081
Independent Study | ARTSVIS 492,IND Section 02,3418,3,3,0.0,2021-06-27 18:14:30.725723
Independent Study | ARTSVIS 492,IND Section 03,3419,3,3,0.0,2021-06-27 18:14:33.052755
Honors Thesis Workshop | ARTSVIS 495S,SEM Section 01,3504,9,15,40.0,2021-06-27 18:14:35.379276
Senior Capstone in Visual Practice | ARTSVIS 498S,SEM Section 01,3420,1,10,90.0,2021-06-27 18:14:37.690397
