Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Child Policy Research | CHILDPOL 250S,SEM Section 01,4326,18,18,0.0,No,2021-07-01 17:32:46.932990
Research Independent Study | CHILDPOL 393,IND Section 01,4328,1,1,0.0,No,2021-07-01 17:32:49.420431
Research Independent Study | CHILDPOL 393,IND Section 02,4329,1,1,0.0,No,2021-07-01 17:32:51.839692
Research Independent Study | CHILDPOL 393,IND Section 03,4330,1,1,0.0,No,2021-07-01 17:32:54.185305
Special Topics in Child Policy Research | CHILDPOL 490S,SEM Section 01,4331,18,18,0.0,No,2021-07-01 17:32:56.615062
