Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | EVANTH 393,IND Section 01,4216,1,1,0.0,No,2021-07-01 17:37:09.651930
Research Independent Study | EVANTH 393,IND Section 02,4217,1,1,0.0,No,2021-07-01 17:37:12.275797
Research Independent Study | EVANTH 393,IND Section 03,4218,1,1,0.0,No,2021-07-01 17:37:14.732965
Research Independent Study | EVANTH 393,IND Section 04,4219,1,1,0.0,No,2021-07-01 17:37:17.145898
Research Independent Study | EVANTH 393,IND Section 05,4220,1,1,0.0,No,2021-07-01 17:37:19.532430
Research Independent Study | EVANTH 393,IND Section 06,4221,1,1,0.0,No,2021-07-01 17:37:21.976670
Research Independent Study | EVANTH 393,IND Section 07,4222,1,1,0.0,No,2021-07-01 17:37:24.506210
Research Independent Study | EVANTH 393,IND Section 08,4223,1,1,0.0,No,2021-07-01 17:37:27.117510
Research Independent Study | EVANTH 393,IND Section 09,4224,1,1,0.0,No,2021-07-01 17:37:29.667172
Research Independent Study | EVANTH 393,IND Section 10,4225,1,1,0.0,No,2021-07-01 17:37:32.398305
Research Independent Study | EVANTH 393,IND Section 11,4226,1,1,0.0,No,2021-07-01 17:37:34.819131
Research Independent Study | EVANTH 393,IND Section 12,4227,1,1,0.0,No,2021-07-01 17:37:37.245299
Research Independent Study | EVANTH 393,IND Section 13,4228,1,1,0.0,No,2021-07-01 17:37:39.655426
Research Independent Study | EVANTH 393,IND Section 14,4229,1,1,0.0,No,2021-07-01 17:37:42.064764
Research Independent Study | EVANTH 393,IND Section 15,4230,1,1,0.0,No,2021-07-01 17:37:44.609963
Advanced Research in Evolutionary Anthropology | EVANTH 495S,SEM Section 01,4249,14,14,0.0,No,2021-07-01 17:37:47.076573
