
MUS Section 01,1836,10,10,No,0.0,2021-07-10 11:53:00.197090
MUS Section 01,1837,25,25,No,0.0,2021-07-10 11:53:00.197100
MUS Section 01,1860,25,25,No,0.0,2021-07-10 11:53:00.197108
MUS Section 01,1862,25,25,No,0.0,2021-07-10 11:53:00.197116
MUS Section 01,1864,25,25,No,0.0,2021-07-10 11:53:00.197124
MUS Section 01,1866,25,25,No,0.0,2021-07-10 11:53:00.197131
MUS Section 01,1868,25,25,No,0.0,2021-07-10 11:53:00.197138
MUS Section 01,1878,10,10,No,0.0,2021-07-10 11:53:00.197146
MUS Section 01,1870,25,25,No,0.0,2021-07-10 11:53:00.197155
MUS Section 01,1871,25,25,No,0.0,2021-07-10 11:53:00.197163
MUS Section 01,1872,10,10,No,0.0,2021-07-10 11:53:00.197171
MUS Section 01,1874,10,10,No,0.0,2021-07-10 11:53:00.197178
MUS Section 01,1876,10,10,No,0.0,2021-07-10 11:53:00.197186
MUS Section 02,1828,25,25,No,0.0,2021-07-10 11:53:00.197194
MUS Section 03,1829,25,25,No,0.0,2021-07-10 11:53:00.197202
MUS Section 04,1830,17,18,No,5.555555555555555,2021-07-10 11:53:00.197210
MUS Section 05,1831,9,10,No,10.0,2021-07-10 11:53:00.197218
MUS Section 01,6822,98,99,No,1.0101010101010102,2021-07-10 11:53:00.197225
MUS Section 02,8708,10,10,No,0.0,2021-07-10 11:53:00.197232
MUS Section 01,6823,99,99,No,0.0,2021-07-10 11:53:00.197240
MUS Section 02,8709,10,10,No,0.0,2021-07-10 11:53:00.197247
MUS Section 01,6824,67,70,No,4.285714285714286,2021-07-10 11:53:00.197256
MUS Section 01,6825,30,30,No,0.0,2021-07-10 11:53:00.197264
MUS Section 02,8711,10,10,No,0.0,2021-07-10 11:53:00.197272
MUS Section 01,6908,10,10,No,0.0,2021-07-10 11:53:00.197280
MUS Section 01,1902,40,40,No,0.0,2021-07-10 11:53:00.197287
MUS Section 02,1885,15,15,No,0.0,2021-07-10 11:53:00.197294
MUS Section 03,1886,40,40,No,0.0,2021-07-10 11:53:00.197302
MUS Section 04,1887,20,20,No,0.0,2021-07-10 11:53:00.197309
MUS Section 05,1888,20,20,No,0.0,2021-07-10 11:53:00.197317
MUS Section 07,1889,20,20,No,0.0,2021-07-10 11:53:00.197324
MUS Section 09,1890,10,10,No,0.0,2021-07-10 11:53:00.197331
MUS Section 10,1891,10,10,No,0.0,2021-07-10 11:53:00.197339
MUS Section 11,1892,10,10,No,0.0,2021-07-10 11:53:00.197347
MUS Section 12,1893,10,10,No,0.0,2021-07-10 11:53:00.197354
MUS Section 18,1899,10,10,No,0.0,2021-07-10 11:53:00.197361
MUS Section 21,6827,10,10,No,0.0,2021-07-10 11:53:00.197368
MUS Section 01,6828,24,25,No,4.0,2021-07-10 11:53:00.197376
MUS Section 02,8710,9,10,No,10.0,2021-07-10 11:53:00.197391
MUS Section 01,6829,90,90,No,0.0,2021-07-10 11:53:00.197399
MUS Section 01,6830,30,30,No,0.0,2021-07-10 11:53:00.197406
MUS Section 02,8712,10,10,No,0.0,2021-07-10 11:53:00.197414
WRK Section 01,8885,6,16,No,62.5,2021-07-10 11:53:00.197422
Lecture Section 01,6914,22,25,No,12.0,2021-07-10 11:53:00.197430
SEM Section 01,8870,13,16,No,18.75,2021-07-10 11:53:00.197438
SEM Section 01,6842,13,14,No,7.142857142857142,2021-07-10 11:53:00.197445
Lecture Section 01,6843,11,16,No,31.25,2021-07-10 11:53:00.197452
Lecture Section 01,6839,17,18,No,5.555555555555555,2021-07-10 11:53:00.197460
Lecture Section 001,6818,3,12,No,75.0,2021-07-10 11:53:00.197470
Lecture Section 002,6819,12,12,No,0.0,2021-07-10 11:53:00.197478
Laboratory Section 01L,6820,3,12,No,75.0,2021-07-10 11:53:00.197487
Laboratory Section 02L,6821,12,12,No,0.0,2021-07-10 11:53:00.197497
SEM Section 01,6840,0,18,No,100.0,2021-07-10 11:53:00.197510
SEM Section 01,6869,10,18,No,44.44444444444444,2021-07-10 11:53:00.197524
SEM Section 01,6910,8,10,No,20.0,2021-07-10 11:53:00.197538
TUT Section 01,6886,4,4,No,0.0,2021-07-10 11:53:00.197552
TUT Section 02,6887,4,4,No,0.0,2021-07-10 11:53:00.197564
TUT Section 03,6888,4,4,No,0.0,2021-07-10 11:53:00.197576
TUT Section 04,6889,4,4,No,0.0,2021-07-10 11:53:00.197587
SEM Section 01,4988,0,18,No,100.0,2021-07-10 11:53:00.197602
SEM Section 01,6897,15,18,No,16.666666666666664,2021-07-10 11:53:00.197616
SEM Section 01,6838,15,18,No,16.666666666666664,2021-07-10 11:53:00.197627
SEM Section 01,8895,0,16,No,100.0,2021-07-10 11:53:00.197635
SEM Section 01,7384,0,18,No,100.0,2021-07-10 11:53:00.197643
Lecture Section 001,6831,16,16,No,0.0,2021-07-10 11:53:00.197651
Laboratory Section 01L,6832,16,16,No,0.0,2021-07-10 11:53:00.197659
TUT Section 01,6882,4,4,No,0.0,2021-07-10 11:53:00.197667
TUT Section 02,6883,4,4,No,0.0,2021-07-10 11:53:00.197675
TUT Section 03,6884,4,4,No,0.0,2021-07-10 11:53:00.197683
TUT Section 04,6885,4,4,No,0.0,2021-07-10 11:53:00.197690
IND Section 01,1965,3,3,No,0.0,2021-07-10 11:53:00.197698
IND Section 01,1931,3,3,No,0.0,2021-07-10 11:53:00.197705
IND Section 05,1932,3,3,No,0.0,2021-07-10 11:53:00.197738
IND Section 08,1933,3,3,No,0.0,2021-07-10 11:53:00.197745
IND Section 10,1934,3,3,No,0.0,2021-07-10 11:53:00.197752
IND Section 15,1935,3,3,No,0.0,2021-07-10 11:53:00.197759
IND Section 17,1936,3,3,No,0.0,2021-07-10 11:53:00.197766
IND Section 20,1937,3,3,No,0.0,2021-07-10 11:53:00.197773
IND Section 33,1938,3,3,No,0.0,2021-07-10 11:53:00.197781
MUS Section 01,1903,9,10,No,10.0,2021-07-10 11:53:00.197788
MUS Section 02,1904,10,10,No,0.0,2021-07-10 11:53:00.197796
MUS Section 03,1905,10,10,No,0.0,2021-07-10 11:53:00.197803
MUS Section 04,1906,10,10,No,0.0,2021-07-10 11:53:00.197810
MUS Section 05,1907,10,10,No,0.0,2021-07-10 11:53:00.197817
MUS Section 06,1908,10,10,No,0.0,2021-07-10 11:53:00.197824
MUS Section 07,8804,5,5,No,0.0,2021-07-10 11:53:00.197831
MUS Section 08,1910,10,10,No,0.0,2021-07-10 11:53:00.197839
MUS Section 09,1911,10,10,No,0.0,2021-07-10 11:53:00.197846
MUS Section 10,1912,10,10,No,0.0,2021-07-10 11:53:00.197853
MUS Section 11,1913,10,10,No,0.0,2021-07-10 11:53:00.197860
MUS Section 12,1914,10,10,No,0.0,2021-07-10 11:53:00.197867
MUS Section 13,1915,10,10,No,0.0,2021-07-10 11:53:00.197874
MUS Section 14,1916,10,10,No,0.0,2021-07-10 11:53:00.197882
MUS Section 15,1917,10,10,No,0.0,2021-07-10 11:53:00.197889
MUS Section 16,1918,5,5,No,0.0,2021-07-10 11:53:00.197896
MUS Section 17,1919,5,5,No,0.0,2021-07-10 11:53:00.197903
MUS Section 18,1920,5,5,No,0.0,2021-07-10 11:53:00.197910
MUS Section 20,1922,5,5,No,0.0,2021-07-10 11:53:00.197918
MUS Section 01,6904,9,10,No,10.0,2021-07-10 11:53:00.197925
MUS Section 02,6905,10,10,No,0.0,2021-07-10 11:53:00.197932
MUS Section 03,6906,8,10,No,20.0,2021-07-10 11:53:00.197939
MUS Section 04,6907,10,10,No,0.0,2021-07-10 11:53:00.197946
SEM Section 01,8702,5,15,No,66.66666666666666,2021-07-10 11:53:00.197953
Lecture Section 001,6833,13,16,No,18.75,2021-07-10 11:53:00.197961
Laboratory Section 01L,6834,13,16,No,18.75,2021-07-10 11:53:00.197969
Laboratory Section 02L,10625,2,2,No,0.0,2021-07-10 11:53:00.197977
TUT Section 01,1928,4,4,No,0.0,2021-07-10 11:53:00.197984
TUT Section 03,1930,5,5,No,0.0,2021-07-10 11:53:00.197991
TUT Section 04,6844,4,4,No,0.0,2021-07-10 11:53:00.197998
TUT Section 05,6845,4,4,No,0.0,2021-07-10 11:53:00.198005
IND Section 01,1966,3,3,No,0.0,2021-07-10 11:53:00.198012
IND Section 02,1967,3,3,No,0.0,2021-07-10 11:53:00.198019
SEM Section 01,6816,16,16,No,0.0,2021-07-10 12:01:19.847673
SEM Section 03,7279,18,18,No,0.0,2021-07-10 12:01:19.847775
MUS Section 01,6859,5,5,No,0.0,2021-07-10 12:01:19.847784
MUS Section 02,6860,5,5,No,0.0,2021-07-10 12:01:19.847792
MUS Section 03,6861,5,5,No,0.0,2021-07-10 12:01:19.847799
MUS Section 04,6862,5,5,No,0.0,2021-07-10 12:01:19.847807
MUS Section 01,6863,5,5,No,0.0,2021-07-10 12:01:19.847815
MUS Section 02,6864,5,5,No,0.0,2021-07-10 12:01:19.847822
MUS Section 04,6866,5,5,No,0.0,2021-07-10 12:01:19.847830
MUS Section 01,6867,8,8,No,0.0,2021-07-10 12:01:19.847837
MUS Section 02,6868,6,8,No,25.0,2021-07-10 12:01:19.847845
MUS Section 01,6877,12,12,No,0.0,2021-07-10 12:01:19.847853
MUS Section 01,6898,10,10,No,0.0,2021-07-10 12:01:19.847860
MUS Section 01,1773,10,10,No,0.0,2021-07-10 12:01:19.847868
MUS Section 02,1774,25,25,No,0.0,2021-07-10 12:01:19.847875
MUS Section 03,1775,25,25,No,0.0,2021-07-10 12:01:19.847882
MUS Section 04,1776,25,25,No,0.0,2021-07-10 12:01:19.847889
MUS Section 01,1779,24,25,No,4.0,2021-07-10 12:01:19.847896
MUS Section 01,1767,25,25,No,0.0,2021-07-10 12:01:19.847904
MUS Section 01,1768,25,25,No,0.0,2021-07-10 12:01:19.847911
MUS Section 01,1780,25,25,No,0.0,2021-07-10 12:01:19.847917
MUS Section 02,1781,25,25,No,0.0,2021-07-10 12:01:19.847925
MUS Section 03,1782,25,25,No,0.0,2021-07-10 12:01:19.847932
MUS Section 04,1783,10,10,No,0.0,2021-07-10 12:01:19.847939
MUS Section 09,6874,10,10,No,0.0,2021-07-10 12:01:19.847954
MUS Section 01,1788,25,25,No,0.0,2021-07-10 12:01:19.847961
MUS Section 02,1789,25,25,No,0.0,2021-07-10 12:01:19.847968
MUS Section 01,1791,25,25,No,0.0,2021-07-10 12:01:19.847975
MUS Section 01,1793,25,25,No,0.0,2021-07-10 12:01:19.847982
MUS Section 01,1769,10,10,No,0.0,2021-07-10 12:01:19.847989
MUS Section 01,1770,25,25,No,0.0,2021-07-10 12:01:19.847996
MUS Section 01,1772,25,25,No,0.0,2021-07-10 12:01:19.848003
MUS Section 01,1795,25,25,No,0.0,2021-07-10 12:01:19.848010
MUS Section 01,1797,25,25,No,0.0,2021-07-10 12:01:19.848025
MUS Section 01,1799,25,25,No,0.0,2021-07-10 12:01:19.848033
MUS Section 01,1801,25,25,No,0.0,2021-07-10 12:01:19.848040
MUS Section 01,1803,10,10,No,0.0,2021-07-10 12:01:19.848047
MUS Section 01,1813,10,10,No,0.0,2021-07-10 12:01:19.848054
MUS Section 01,1805,25,25,No,0.0,2021-07-10 12:01:19.848062
MUS Section 01,1806,25,25,No,0.0,2021-07-10 12:01:19.848068
MUS Section 01,1807,25,25,No,0.0,2021-07-10 12:01:19.848076
MUS Section 01,1809,10,10,No,0.0,2021-07-10 12:01:19.848082
MUS Section 01,1811,25,25,No,0.0,2021-07-10 12:01:19.848090
MUS Section 01,6817,8,10,No,20.0,2021-07-10 12:01:19.848097
MUS Section 01,6900,8,12,No,33.33333333333333,2021-07-10 12:01:19.848105
Lecture Section 01,6858,32,32,No,0.0,2021-07-10 12:01:19.848113
SEM Section 01,6870,16,18,No,11.11111111111111,2021-07-10 12:01:19.848120
Lecture Section 01,6837,9,20,No,55.00000000000001,2021-07-10 12:01:19.848136
Lecture Section 01,6878,39,49,No,20.408163265306122,2021-07-10 12:01:19.848144
Lecture Section 01,6892,21,32,No,34.375,2021-07-10 12:01:19.848151
Lecture Section 01,6890,14,25,No,44.0,2021-07-10 12:01:19.848159
Lecture Section 01,6881,22,25,No,12.0,2021-07-10 12:01:19.848166
Lecture Section 01,6911,20,25,No,20.0,2021-07-10 12:01:19.848173
SEM Section 01,6814,16,18,No,11.11111111111111,2021-07-10 12:01:19.848180
SEM Section 03,6560,10,18,No,44.44444444444444,2021-07-10 12:01:19.848187
SEM Section 04,8191,18,18,No,0.0,2021-07-10 12:01:19.848195
MUS Section 01,6912,8,8,No,0.0,2021-07-10 12:01:19.848202
MUS Section 01,1838,25,25,No,0.0,2021-07-10 12:01:19.848209
MUS Section 02,1839,23,25,No,8.0,2021-07-10 12:01:19.848216
MUS Section 03,1840,24,25,No,4.0,2021-07-10 12:01:19.848223
MUS Section 04,1841,25,25,No,0.0,2021-07-10 12:01:19.848230
MUS Section 01,1844,25,25,No,0.0,2021-07-10 12:01:19.848237
MUS Section 01,1833,24,25,No,4.0,2021-07-10 12:01:19.848244
MUS Section 01,1834,25,25,No,0.0,2021-07-10 12:01:19.848251
