Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Turkish | TURKISH 101D,Lecture Section 001,6616,12,12,0.0,No,2021-07-01 11:23:19.637787
Elementary Turkish | TURKISH 101D,Discussion Section 01D,6617,12,12,0.0,No,2021-07-01 11:23:21.994913
Intermediate Turkish | TURKISH 203D,Lecture Section 001,6564,12,12,0.0,No,2021-07-01 11:23:24.330478
Intermediate Turkish | TURKISH 203D,Discussion Section 01D,6565,12,12,0.0,No,2021-07-01 11:23:26.667578
Turkish Independent Study | TURKISH 391,IND Section 01,2113,4,4,0.0,No,2021-07-01 11:23:29.011078
Turkish Independent Study | TURKISH 391,IND Section 02,2114,4,4,0.0,No,2021-07-01 11:23:31.358418
Elementary Turkish | TURKISH 101D,Lecture Section 001,6616,12,12,0.0,No,2021-07-01 17:47:34.618551
Elementary Turkish | TURKISH 101D,Discussion Section 01D,6617,12,12,0.0,No,2021-07-01 17:47:37.096126
Intermediate Turkish | TURKISH 203D,Lecture Section 001,6564,12,12,0.0,No,2021-07-01 17:47:39.498469
Intermediate Turkish | TURKISH 203D,Discussion Section 01D,6565,12,12,0.0,No,2021-07-01 17:47:41.883087
Turkish Independent Study | TURKISH 391,IND Section 01,2113,4,4,0.0,No,2021-07-01 17:47:44.285891
Turkish Independent Study | TURKISH 391,IND Section 02,2114,4,4,0.0,No,2021-07-01 17:47:46.650008
